S3_URL,LastModified,Size
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/22-100325Green-066cd702.mp4","2025-11-07T20:26:20.000Z",22901564
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-1030125Blue-fa716222.mp4","2025-11-07T23:15:31.000Z",22110150
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-1380525Gold-0d5fcf73.mp4","2025-11-07T20:39:55.000Z",24716680
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-2640324Pink-df2e6e6f.mp4","2025-11-11T16:13:21.000Z",24483615
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-3410325White-33d274cc.mp4","2025-11-07T21:03:53.000Z",21994454
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-480325-Brass-59af13d0.mp4","2025-11-12T23:22:05.000Z",20279243
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-550325White-e2acda4a.mp4","2025-11-12T23:12:09.000Z",37664763
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6-70125-silver-d898899e.mp4","2025-11-07T23:13:35.000Z",20042679
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/6370055945112.mp4","2025-11-15T06:18:34.000Z",2453145
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/9-1300324purple-970b88d5.mp4","2025-11-11T16:22:27.000Z",18511417
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/Alltogether-3f34a89a.mp4","2025-11-07T21:16:38.000Z",21936245
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/CHRISTMASCHARMS6-1890525White6-1900525White6-1910525Whtie-94231817.mp4","2025-11-14T23:20:14.000Z",35257783
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/FlatLayReels-6-1080125multi-3962eae6.mp4","2025-11-14T23:12:10.000Z",2238483
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/FlatLayReels-6-1270125pink-67f58f58.mp4","2025-11-14T23:29:01.000Z",2602957
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/FlatLayReels-9-160125pink-a2887210.mp4","2025-11-13T23:45:25.000Z",4138041
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/HeavenlyColor-6-620325-Brass-848d3617.mp4","2025-11-13T23:47:42.000Z",20871845
"s3://assets.soundconcepts.com/webroot_paparazzi/assets/video/PROMONOV-AdventCalednar-e27dd849.mp4","2025-11-10T21:38:52.000Z",25956259
"s3://assets.soundconcepts.com/webroot_shiftpro/assets/video/104-3-019ShiftBizOpp2025Vshort-a2fb0f79.mp4","2025-11-11T21:31:44.000Z",284957479
"s3://assets.soundconcepts.com/webroot_shiftpro/assets/video/104-3-019ShiftBizOpp2025short-85380cf4.mp4","2025-11-11T21:35:40.000Z",487319523
"s3://assets.soundconcepts.com/webroot_threeapp/assets/video/6365979107112.mp4","2025-11-15T06:21:24.000Z",2434436
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/BFITSocial1-bb52d7a0.mp4","2025-11-15T15:00:58.000Z",1373407
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/BFITSocial1_SP-9c8f5e57.mp4","2025-11-15T15:03:05.000Z",609741
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/DreamSocial1-89020e62.mp4","2025-11-15T14:28:29.000Z",2924893
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/EdgePowderSocial1-54fe79de.mp4","2025-11-15T14:38:06.000Z",455198
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/ICESocial1-97cc6481.mp4","2025-11-15T14:45:43.000Z",908032
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/RPReplay_Final1763158300-d947c53d.MP4","2025-11-14T23:42:39.000Z",39777335
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/RPReplay_Final1763158448-8acb4c4c.MP4","2025-11-14T23:35:52.000Z",18608970
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/RPReplay_Final1763158573-b2a4c28a.MP4","2025-11-14T23:34:44.000Z",18073704
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/RPReplay_Final1763158787-000ba199.MP4","2025-11-14T23:31:34.000Z",24881070
"s3://assets.soundconcepts.com/webroot_zilisconnect/assets/video/VIBESocial1-41363f8f.mp4","2025-11-15T14:13:58.000Z",8977143
